"timestamp:""2019-05-06T11:14:27.493+05:30""","compass_y:""-7.00""","compass_x:""-35.33""","gyro_y:""0.63""","reed_relay:""0""","gyro_x:""-0.77""","object_temp:""0.00""","gyro_z:""-2.15""","light:""0.88""","humidity:""54.34""","acc_z:""2.86""","ambient_temp:""30.35""","air_pressure:""659.92""","acc_y:""-2.56""","acc_x:""-0.43"""
"timestamp:""2019-05-06T10:52:59.217+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:27.774+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:27.774+05:30""","compass_y:""-6.17""","compass_x:""-34.17""","gyro_y:""0.46""","reed_relay:""0""","gyro_x:""-0.13""","object_temp:""0.00""","gyro_z:""0.16""","light:""0.88""","humidity:""54.34""","acc_z:""2.87""","ambient_temp:""30.34""","air_pressure:""660.02""","acc_y:""-2.55""","acc_x:""-0.49"""
"timestamp:""2019-05-06T11:07:18.422+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:00:09.202+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:28.482+05:30""","compass_y:""-8.17""","compass_x:""-34.50""","gyro_y:""0.93""","reed_relay:""0""","gyro_x:""-0.99""","object_temp:""0.00""","gyro_z:""-2.04""","light:""0.48""","humidity:""54.34""","acc_z:""2.85""","ambient_temp:""30.34""","air_pressure:""659.94""","acc_y:""-2.65""","acc_x:""-0.49"""
"timestamp:""2019-05-06T10:53:00.175+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:28.763+05:30""","compass_y:""-5.83""","compass_x:""-34.17""","gyro_y:""0.55""","reed_relay:""0""","gyro_x:""0.73""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.88""","humidity:""54.34""","acc_z:""2.88""","ambient_temp:""30.35""","air_pressure:""660.15""","acc_y:""-2.63""","acc_x:""-0.42"""
"timestamp:""2019-05-06T11:14:28.763+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:28.763+05:30""","compass_y:""-6.17""","compass_x:""-34.17""","gyro_y:""0.46""","reed_relay:""0""","gyro_x:""-0.13""","object_temp:""0.00""","gyro_z:""0.16""","light:""0.88""","humidity:""54.34""","acc_z:""2.87""","ambient_temp:""30.34""","air_pressure:""660.02""","acc_y:""-2.55""","acc_x:""-0.49"""
"timestamp:""2019-05-06T11:07:19.387+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:00:10.202+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:29.242+05:30""","compass_y:""-8.17""","compass_x:""-34.50""","gyro_y:""0.93""","reed_relay:""0""","gyro_x:""-0.99""","object_temp:""0.00""","gyro_z:""-2.04""","light:""0.48""","humidity:""54.34""","acc_z:""2.85""","ambient_temp:""30.34""","air_pressure:""659.94""","acc_y:""-2.65""","acc_x:""-0.49"""
"timestamp:""2019-05-06T11:14:29.523+05:30""","compass_y:""-7.33""","compass_x:""-34.83""","gyro_y:""-2.01""","reed_relay:""0""","gyro_x:""-5.63""","object_temp:""0.00""","gyro_z:""0.25""","light:""0.88""","humidity:""54.34""","acc_z:""2.75""","ambient_temp:""30.34""","air_pressure:""660.02""","acc_y:""-2.65""","acc_x:""-0.47"""
"timestamp:""2019-05-06T10:53:01.137+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:29.805+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:29.805+05:30""","compass_y:""-6.17""","compass_x:""-34.17""","gyro_y:""0.46""","reed_relay:""0""","gyro_x:""-0.13""","object_temp:""0.00""","gyro_z:""0.16""","light:""0.88""","humidity:""54.34""","acc_z:""2.87""","ambient_temp:""30.34""","air_pressure:""660.02""","acc_y:""-2.55""","acc_x:""-0.49"""
"timestamp:""2019-05-06T11:07:20.412+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:00:11.202+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:30.412+05:30""","compass_y:""-8.17""","compass_x:""-34.50""","gyro_y:""0.93""","reed_relay:""0""","gyro_x:""-0.99""","object_temp:""0.00""","gyro_z:""-2.04""","light:""0.48""","humidity:""54.34""","acc_z:""2.85""","ambient_temp:""30.34""","air_pressure:""659.94""","acc_y:""-2.65""","acc_x:""-0.49"""
"timestamp:""2019-05-06T10:53:02.087+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:07:21.422+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:31.176+05:30""","compass_y:""-5.50""","compass_x:""-35.33""","gyro_y:""0.41""","reed_relay:""0""","gyro_x:""2.95""","object_temp:""0.00""","gyro_z:""0.49""","light:""0.00""","humidity:""54.34""","acc_z:""2.85""","ambient_temp:""30.34""","air_pressure:""659.94""","acc_y:""-2.56""","acc_x:""-0.42"""
"timestamp:""2019-05-06T11:14:31.176+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:31.176+05:30""","compass_y:""-6.17""","compass_x:""-34.17""","gyro_y:""0.46""","reed_relay:""0""","gyro_x:""-0.13""","object_temp:""0.00""","gyro_z:""0.16""","light:""0.88""","humidity:""54.34""","acc_z:""2.87""","ambient_temp:""30.34""","air_pressure:""660.02""","acc_y:""-2.55""","acc_x:""-0.49"""
"timestamp:""2019-05-06T11:00:12.192+05:30""","compass_y:""21.17""","compass_x:""-94.83""","gyro_y:""-0.91""","reed_relay:""0""","gyro_x:""0.91""","object_temp:""0.00""","gyro_z:""-2.13""","light:""0.40""","humidity:""58.25""","acc_z:""3.83""","ambient_temp:""29.43""","air_pressure:""660.81""","acc_y:""-0.87""","acc_x:""-0.28"""
"timestamp:""2019-05-06T11:14:31.457+05:30""","compass_y:""-8.17""","compass_x:""-34.50""","gyro_y:""0.93""","reed_relay:""0""","gyro_x:""-0.99""","object_temp:""0.00""","gyro_z:""-2.04""","light:""0.48""","humidity:""54.34""","acc_z:""2.85""","ambient_temp:""30.34""","air_pressure:""659.94""","acc_y:""-2.65""","acc_x:""-0.49"""
